"ID","IDW","WILAYA","EPSP","DAIRA","COMMUNE","TYPE","STRUCTURE","MATERNITE","NBRLIT","LATITUDE","LONGITUDE"
1,3,"Laghouat","Gueltet Sidi Saad","Gueltet Sidi Saad","El Beidha","PC","say mansour","y",06,0,0
1,3,"Laghouat","Gueltet Sidi Saad","Gueltet Sidi Saad","Ain Sidi Ali","PC","tesmi  messaoud","n",06,0,0
1,3,"Laghouat","Gueltet Sidi Saad","Gueltet Sidi Saad","Gueltet Sidi Saad","SS","ben guelloula allal","n",0,0,0
1,3,"Laghouat","Gueltet Sidi Saad","Gueltet Sidi Saad","Gueltet Sidi Saad","SS","ben  abdellah  med (oued touil)","n",0,0,0
1,3,"Laghouat","Gueltet Sidi Saad","Gueltet Sidi Saad","Gueltet Sidi Saad","SS","khaldi larbi (h. dib)","n",0,0,0
1,3,"Laghouat","Gueltet Sidi Saad","Gueltet Sidi Saad","Gueltet Sidi Saad","SS","herouane lachleh","n",0,0,0
1,3,"Laghouat","Gueltet Sidi Saad","Gueltet Sidi Saad","Gueltet Sidi Saad","SS","centre boukhalfi aek","n",0,0,0
1,3,"Laghouat","Gueltet Sidi Saad","Gueltet Sidi Saad","El Beidha","SS","dhayet ouled benomar","n",0,0,0
1,3,"Laghouat","Gueltet Sidi Saad","Gueltet Sidi Saad","Ain Sidi Ali","SS","slimani rabeh (ain sidi ali)","n",0,0,0
1,3,"Laghouat","Gueltet Sidi Saad","Gueltet Sidi Saad","Ain Sidi Ali","SS","unite tesmi messaoud","n",0,0,0
1,3,"Laghouat","Brida","Brida","Brida","PC","kemichema belkacem","y",014,0,0
1,3,"Laghouat","Brida","Brida","Taouiala","PC","linani bendjedou","n",06,33.868672,1.854077
1,3,"Laghouat","Brida","Brida","Hadj Mechri","PC","metidji naceur","n",06,33.957885,1.602748
1,3,"Laghouat","Brida","El Gheicha","El Gheicha","PC","aouifat alarbi","y",012,33.929144,2.138658
1,3,"Laghouat","Brida","Brida","Brida","SS","mahouatha nacer sidi hamza","n",0,0,0
1,3,"Laghouat","Brida","Brida","Brida","SS","elmaki abdelrahman tamelaket","n",0,0,0
1,3,"Laghouat","Brida","Brida","Brida","SS","haouhat miloud ain elbotma","n",0,0,0
1,3,"Laghouat","Brida","Brida","Brida","SS","hakmi tayeb djelll brida","n",0,0,0
1,3,"Laghouat","Brida","Brida","Hadj Mechri","SS","badrani  mecheri ain elbakaye","n",0,0,0
1,3,"Laghouat","Brida","Brida","Hadj Mechri","SS","baghdadi aek kesslane","n",0,0,0
1,3,"Laghouat","Brida","Brida","Hadj Mechri","SS","rahmani tayeb agunabe","n",0,0,0
1,3,"Laghouat","Brida","Brida","Hadj Mechri","SS","moustefaoui laradj meriresse","n",0,0,0
1,3,"Laghouat","Brida","Brida","Hadj Mechri","SS","ras elaine","n",0,0,0
1,3,"Laghouat","Brida","Brida","Hadj Mechri","SS","ouhab mohamed sidi naceur","n",0,0,0
1,3,"Laghouat","Brida","Brida","Taouiala","SS","badache aek elsafia","y",0,0,0
1,3,"Laghouat","Brida","Brida","Taouiala","SS","chaibmessaoud cite talbi","n",0,0,0
1,3,"Laghouat","Brida","Brida","Taouiala","SS","elhelesse brahim elkhadra","n",0,0,0
1,3,"Laghouat","Brida","El Gheicha","El Gheicha","SS","baiaa messoud anfous ","n",0,0,0
1,3,"Laghouat","Brida","El Gheicha","El Gheicha","SS","karni mohamed terkalal","n",0,0,0
1,3,"Laghouat","Brida","El Gheicha","El Gheicha","SS","merzougui ahmed megataa lahmer ","n",0,0,0
1,3,"Laghouat","Brida","El Gheicha","El Gheicha","SS","djekhiouat ahmed elghicha ","n",0,0,0
1,3,"Laghouat","Ain madhi","Ain madhi","Ain madhi","PC","chahid messoudane ain madhi","y",010,33.795963,2.305685
1,3,"Laghouat","Ain madhi","Ain madhi","Ain madhi","PC","zernane mohamed","n",0,33.797878,2.301588
1,3,"Laghouat","Ain madhi","Ain madhi","Tadjmout","PC","ghreibi lakhdar tadjmout","y",08,33.880542,2.527307
1,3,"Laghouat","Ain madhi","Ain madhi","Tadjrouna","PC","bourouibah mohamed tadjrouna","y",08,33.510635,2.108176
