"","ID","IDW","WILAYA","EPSP","DAIRA","COMMUNE","TYPE","STRUCTURE","MATERNITE","NBRLIT","LATITUDE","LONGITUDE"
"72",1,2,"Chlef","Ouled Fares","Ouled Fares","Chettia","SS","safacteur","n",0,0,0
"73",1,2,"Chlef","Ouled Fares","Zeboudja","Bouzghaia","SS","Heumiss","n",0,0,0
"74",1,2,"Chlef","Ouled Fares","Zeboudja","Bouzghaia","SS","Hay Es samet","n",0,0,0
"75",1,2,"Chlef","Ouled Fares","Zeboudja","Bouzghaia","SS","Attatfa","n",0,0,0
"76",1,2,"Chlef","Ouled Fares","Abou el hassan","Tedjna","SS","Tadjena (centre)","n",0,0,0
"77",1,2,"Chlef","Ouled Fares","Abou el hassan","Tedjna","SS","Sidi ziane","n",0,0,0
"78",1,2,"Chlef","Ouled Fares","Abou el hassan","Tedjna","SS","Aya chiche","n",0,0,0
"79",1,2,"Chlef","Ouled Fares","Abou el hassan","Tedjna","SS","Draize","n",0,0,0
"80",1,2,"Chlef","Ouled Fares","Abou el hassan","Tedjna","SS","Ladjab","n",0,0,0
"81",1,2,"Chlef","Ouled Fares","Abou el hassan","Tedjna","SS","Dhar el meddah","n",0,0,0
"82",1,2,"Chlef","Ouled Fares","Abou el hassan","Tedjna","SS","Ain soltane","n",0,0,0
"83",1,2,"Chlef","Ouled Fares","Abou el hassan","Tedjna","SS","Yachir","n",0,0,0
"84",1,2,"Chlef","Ouled Fares","Abou el hassan","Tedjna","SS","sidi aissaguedal","n",0,0,0
"85",1,2,"Chlef","Ouled Fares","Ouled Fares","Labiodhmedjaja","SS","Medina","n",0,0,0
"86",1,2,"Chlef","Ouled Fares","Ouled Fares","Labiodhmedjaja","SS","Nakhla","n",0,0,0
"87",1,2,"Chlef","Ouled Fares","Ouled Fares","Labiodhmedjaja","SS","yarmoul","n",0,0,0
"88",1,2,"Chlef","Ouled Fares","Ouled Fares","Labiodhmedjaja","SS","Ouled ben chebra","n",0,0,0
"89",1,2,"Chlef","Ouled Fares","Ouled Fares","Labiodhmedjaja","SS","ouledalibeldjilali","n",0,0,0
"90",1,2,"Chlef","Ouled Fares","Ouled Fares","Labiodhmedjaja","SS","azouzen","n",0,0,0
"91",1,2,"Chlef","Ouled Fares","Ouled Fares","Labiodhmedjaja","SS","touafria","n",0,0,0
"92",1,2,"Chlef","Ouled Fares","Ouled Fares","Labiodhmedjaja","SS","Medina","n",0,0,0
"93",1,2,"Chlef","Ouled Fares","Chlef","Chlef","SS","Chegga","n",0,0,0
"94",1,2,"Chlef","Ouled Fares","Chlef","Chlef","SS","El moafkia","n",0,0,0
"95",1,2,"Chlef","Ouled Fares","Chlef","Chlef","SS","Chorfa Z 02","n",0,0,0
"96",1,2,"Chlef","Ouled Fares","Chlef","Chlef","SS","Chorfa Z 06","n",0,0,0
